result
82,82
0,-20,-19.5,-19,-18.5,-18,-17.5,-17,-16.5,-16,-15.5,-15,-14.5,-14,-13.5,-13,-12.5,-12,-11.5,-11,-10.5,-10,-9.5,-9,-8.5,-8,-7.5,-7,-6.5,-6,-5.5,-5,-4.5,-4,-3.5,-3,-2.5,-2,-1.5,-1,-0.5,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20
-20,446.3,446.4,446.6,446.7,447,447.2,447.5,447.8,448.2,448.7,449.2,449.8,450.6,451.4,452.5,453.7,455.2,456.9,459.1,461.7,464.9,468.9,473.9,480.2,488.2,498.2,509.7,519.8,525.1,526.8,527.3,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.3,526.8,525.1,519.8,509.7,498.2,488.2,480.2,473.9,468.9,464.9,461.7,459.1,456.9,455.2,453.7,452.5,451.4,450.6,449.8,449.2,448.7,448.2,447.8,447.5,447.2,447,446.7,446.6,446.4,446.3
-19.5,446.1,446.3,446.4,446.6,446.8,447,447.2,447.5,447.9,448.3,448.8,449.3,450,450.8,451.8,452.9,454.2,455.9,457.8,460.2,463.2,466.9,471.5,477.3,484.7,494.1,505.5,516.7,523.8,526.5,527.2,527.3,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.3,527.2,526.5,523.8,516.7,505.5,494.1,484.7,477.3,471.5,466.9,463.2,460.2,457.8,455.9,454.2,452.9,451.8,450.8,450,449.3,448.8,448.3,447.9,447.5,447.2,447,446.8,446.6,446.4,446.3,446.1
-19,446,446.1,446.3,446.4,446.6,446.8,447,447.3,447.6,448,448.4,448.9,449.5,450.2,451.1,452.1,453.4,454.8,456.7,458.9,461.6,465,469.2,474.6,481.4,490.2,501.1,513,522,525.9,527,527.3,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.3,527,525.9,522,513,501.1,490.2,481.4,474.6,469.2,465,461.6,458.9,456.7,454.8,453.4,452.1,451.1,450.2,449.5,448.9,448.4,448,447.6,447.3,447,446.8,446.6,446.4,446.3,446.1,446
-18.5,445.9,446,446.1,446.3,446.4,446.6,446.8,447,447.3,447.6,448,448.5,449,449.7,450.5,451.4,452.5,453.9,455.6,457.6,460.1,463.2,467.1,472,478.3,486.4,496.7,508.8,519.4,525,526.8,527.3,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.3,526.8,525,519.4,508.8,496.7,486.4,478.3,472,467.1,463.2,460.1,457.6,455.6,453.9,452.5,451.4,450.5,449.7,449,448.5,448,447.6,447.3,447,446.8,446.6,446.4,446.3,446.1,446,445.9
-18,445.9,445.9,446,446.1,446.3,446.4,446.6,446.8,447.1,447.4,447.7,448.1,448.6,449.2,449.9,450.8,451.8,453,454.5,456.4,458.6,461.5,465,469.5,475.3,482.8,492.5,504.3,516.1,523.6,526.4,527.2,527.3,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.3,527.2,526.4,523.6,516.1,504.3,492.5,482.8,475.3,469.5,465,461.5,458.6,456.4,454.5,453,451.8,450.8,449.9,449.2,448.6,448.1,447.7,447.4,447.1,446.8,446.6,446.4,446.3,446.1,446,445.9,445.9
-17.5,445.8,445.8,445.9,446,446.1,446.3,446.4,446.6,446.8,447.1,447.4,447.8,448.2,448.7,449.4,450.1,451.1,452.2,453.5,455.2,457.3,459.9,463.1,467.2,472.5,479.4,488.4,499.7,512.2,521.7,525.8,527,527.3,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.3,527,525.8,521.7,512.2,499.7,488.4,479.4,472.5,467.2,463.1,459.9,457.3,455.2,453.5,452.2,451.1,450.1,449.4,448.7,448.2,447.8,447.4,447.1,446.8,446.6,446.4,446.3,446.1,446,445.9,445.8,445.8
-17,445.7,445.8,445.8,445.9,446,446.1,446.3,446.4,446.6,446.8,447.1,447.4,447.8,448.3,448.9,449.6,450.4,451.4,452.6,454.2,456,458.4,461.3,465.1,469.9,476.2,484.5,495.1,507.7,518.9,524.8,526.7,527.2,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.2,526.7,524.8,518.9,507.7,495.1,484.5,476.2,469.9,465.1,461.3,458.4,456,454.2,452.6,451.4,450.4,449.6,448.9,448.3,447.8,447.4,447.1,446.8,446.6,446.4,446.3,446.1,446,445.9,445.8,445.8,445.7
-16.5,445.7,445.7,445.8,445.8,445.9,446,446.1,446.3,446.4,446.6,446.9,447.2,447.5,447.9,448.4,449,449.8,450.7,451.8,453.2,454.9,457,459.7,463.1,467.5,473.2,480.7,490.6,503,515.4,523.4,526.3,527.1,527.3,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.3,527.1,526.3,523.4,515.4,503,490.6,480.7,473.2,467.5,463.1,459.7,457,454.9,453.2,451.8,450.7,449.8,449,448.4,447.9,447.5,447.2,446.9,446.6,446.4,446.3,446.1,446,445.9,445.8,445.8,445.7,445.7
-16,445.6,445.7,445.7,445.7,445.8,445.9,446,446.1,446.2,446.4,446.6,446.9,447.2,447.6,448,448.6,449.2,450,451,452.3,453.8,455.7,458.1,461.2,465.2,470.4,477.2,486.4,498.1,511.2,521.3,525.7,527,527.3,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.3,527,525.7,521.3,511.2,498.1,486.4,477.2,470.4,465.2,461.2,458.1,455.7,453.8,452.3,451,450,449.2,448.6,448,447.6,447.2,446.9,446.6,446.4,446.2,446.1,446,445.9,445.8,445.7,445.7,445.7,445.6
-15.5,445.6,445.6,445.6,445.7,445.7,445.8,445.9,446,446.1,446.2,446.4,446.6,446.9,447.2,447.6,448.1,448.7,449.4,450.3,451.4,452.8,454.5,456.7,459.4,463,467.7,474,482.3,493.3,506.5,518.4,524.7,526.7,527.2,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.2,526.7,524.7,518.4,506.5,493.3,482.3,474,467.7,463,459.4,456.7,454.5,452.8,451.4,450.3,449.4,448.7,448.1,447.6,447.2,446.9,446.6,446.4,446.2,446.1,446,445.9,445.8,445.7,445.7,445.6,445.6,445.6
-15,445.6,445.6,445.6,445.6,445.7,445.7,445.8,445.9,446,446.1,446.2,446.4,446.7,446.9,447.3,447.7,448.2,448.9,449.7,450.6,451.8,453.4,455.3,457.8,461,465.3,470.9,478.4,488.6,501.4,514.6,523.1,526.2,527.1,527.3,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.4,527.3,527.1,526.2,523.1,514.6,501.4,488.6,478.4,470.9,465.3,461,457.8,455.3,453.4,451.8,450.6,449.7,448.9,448.2,447.7,447.3,446.9,446.7,446.4,446.2,446.1,446,445.9,445.8,445.7,445.7,445.6,445.6,445.6,445.6
