result
82,82
0,-20,-19.5,-19,-18.5,-18,-17.5,-17,-16.5,-16,-15.5,-15,-14.5,-14,-13.5,-13,-12.5,-12,-11.5,-11,-10.5,-10,-9.5,-9,-8.5,-8,-7.5,-7,-6.5,-6,-5.5,-5,-4.5,-4,-3.5,-3,-2.5,-2,-1.5,-1,-0.5,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20
-20,88.97,88.61,88.27,87.74,87.19,86.75,86.16,85.5,84.91,84.15,83.41,82.58,81.68,80.7,79.65,78.47,77.22,75.83,74.29,72.59,70.72,68.63,66.3,63.67,60.7,57.33,53.62,51.2,51.05,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,50.94,49.62,45.78,42.1,38.89,36.07,33.57,31.35,29.37,27.58,25.98,24.53,23.21,22,20.92,19.89,18.99,18.12,17.37,16.6,15.99,15.33,14.75,14.28,13.71,13.22,12.89,12.46,11.98
-19.5,89.46,88.96,88.59,88.23,87.68,87.13,86.67,86.04,85.38,84.75,83.96,83.2,82.3,81.38,80.33,79.23,77.98,76.63,75.15,73.51,71.68,69.65,67.38,64.82,61.93,58.65,54.93,51.64,51.05,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.03,50.78,48.41,44.36,40.78,37.66,34.91,32.49,30.33,28.41,26.68,25.12,23.71,22.44,21.28,20.2,19.26,18.33,17.55,16.75,16.1,15.44,14.81,14.33,13.76,13.24,12.89,12.46,11.97,11.64
-19,89.86,89.45,88.95,88.57,88.18,87.62,87.07,86.58,85.91,85.26,84.57,83.76,82.96,82.01,81.04,79.94,78.75,77.45,76,74.41,72.64,70.67,68.46,65.97,63.16,59.96,56.31,52.52,51.07,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51,50.38,46.97,42.95,39.46,36.43,33.76,31.41,29.32,27.45,25.77,24.27,22.91,21.66,20.54,19.52,18.57,17.73,16.92,16.21,15.55,14.88,14.37,13.81,13.27,12.89,12.45,11.96,11.62,11.37
-18.5,90.13,89.86,89.45,88.94,88.55,88.14,87.56,87.01,86.48,85.78,85.12,84.38,83.55,82.69,81.71,80.67,79.52,78.25,76.85,75.31,73.6,71.68,69.54,67.12,64.39,61.28,57.71,53.75,51.21,51.05,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,50.94,49.56,45.45,41.53,38.15,35.2,32.61,30.33,28.31,26.5,24.88,23.41,22.1,20.91,19.81,18.83,17.93,17.1,16.33,15.66,14.96,14.42,13.85,13.29,12.89,12.45,11.95,11.6,11.33,10.96
-18,90.45,90.14,89.86,89.44,88.93,88.52,88.09,87.49,86.94,86.37,85.65,84.97,84.17,83.33,82.4,81.39,80.27,79.05,77.7,76.2,74.54,72.69,70.61,68.27,65.61,62.59,59.12,55.16,51.66,51.05,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.03,50.76,48.27,43.93,40.12,36.84,33.98,31.47,29.26,27.3,25.55,23.98,22.58,21.3,20.14,19.11,18.14,17.29,16.47,15.77,15.06,14.48,13.9,13.32,12.9,12.45,11.94,11.58,11.3,10.91,10.5
-17.5,90.91,90.48,90.15,89.86,89.43,88.92,88.49,88.03,87.43,86.86,86.25,85.51,84.8,83.95,83.09,82.09,81.03,79.84,78.54,77.09,75.49,73.69,71.68,69.41,66.83,63.9,60.52,56.64,52.59,51.08,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51,50.34,46.71,42.4,38.71,35.53,32.76,30.33,28.19,26.3,24.61,23.09,21.73,20.51,19.4,18.38,17.49,16.62,15.89,15.16,14.53,13.95,13.35,12.9,12.44,11.93,11.56,11.26,10.86,10.45,10.18
-17,91.29,90.95,90.52,90.16,89.86,89.43,88.91,88.47,87.98,87.36,86.78,86.12,85.37,84.62,83.73,82.81,81.76,80.63,79.37,77.97,76.42,74.69,72.74,70.54,68.05,65.2,61.93,58.14,53.91,51.21,51.05,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,50.93,49.47,45.07,40.88,37.3,34.22,31.54,29.19,27.13,25.3,23.66,22.21,20.9,19.72,18.65,17.69,16.8,16.02,15.27,14.6,14.01,13.39,12.91,12.44,11.92,11.54,11.22,10.81,10.4,10.14,9.935
-16.5,91.54,91.32,90.99,90.55,90.18,89.86,89.42,88.89,88.43,87.92,87.28,86.68,85.98,85.22,84.41,83.49,82.51,81.41,80.19,78.85,77.36,75.68,73.8,71.67,69.26,66.5,63.33,59.66,55.42,51.68,51.05,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.03,50.75,48.09,43.42,39.36,35.9,32.92,30.33,28.06,26.07,24.31,22.74,21.33,20.07,18.95,17.92,16.99,16.15,15.38,14.67,14.06,13.42,12.91,12.43,11.91,11.51,11.17,10.75,10.36,10.1,9.869,9.556
-16,91.83,91.57,91.35,91.03,90.59,90.2,89.86,89.42,88.88,88.4,87.86,87.21,86.58,85.84,85.05,84.19,83.23,82.18,81.02,79.72,78.28,76.66,74.85,72.8,70.47,67.8,64.73,61.17,57.02,52.67,51.08,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51,50.3,46.4,41.77,37.84,34.5,31.62,29.12,26.94,25.02,23.32,21.81,20.47,19.26,18.17,17.2,16.3,15.51,14.75,14.11,13.46,12.92,12.42,11.9,11.49,11.12,10.69,10.31,10.05,9.796,9.461,9.119
