suboptimal_10.csv Suboptimal
d,count
10,11.00
12,18.00
14,25.00
16,45.00
18,75.00
20,122.00
22,192.00
24,347.00
26,626.00
28,1110.00
30,1917.00
32,3338.00
34,5540.00
36,8566.00
38,13068.00
40,18165.00
42,23326.00
44,26859.00
46,27526.00
48,23341.00
50,15971.00
52,8096.00
54,2670.00
56,450.00
58,35.00
60,1.00
