suboptimal_20.csv Suboptimal
d,count
20,94.00
22,100.00
24,314.00
26,416.00
28,908.00
30,1550.00
32,2914.00
34,4996.00
36,8252.00
38,11826.00
40,17360.00
42,22506.00
44,27140.00
46,27566.00
48,24150.00
50,17122.00
52,9332.00
54,3684.00
56,1062.00
58,142.00
60,6.00
