suboptimal_30.csv Suboptimal
d,count
30,498.00
32,1398.00
34,3450.00
36,7416.00
38,13862.00
40,22878.00
42,30824.00
44,34502.00
46,29786.00
48,19676.00
50,10668.00
52,4488.00
54,1640.00
56,302.00
58,46.00
60,6.00
