suboptimal_05.csv Suboptimal
d,count
5,6.00
7,7.00
9,14.00
11,24.00
13,34.00
15,68.00
17,105.00
19,166.00
21,269.00
23,459.00
25,715.00
27,1245.00
29,1970.00
31,3368.00
33,5006.00
35,8025.00
37,11065.00
39,15731.00
41,19771.00
43,24027.00
45,24826.00
47,24067.00
49,19092.00
51,12926.00
53,5958.00
55,2160.00
57,322.00
59,14.00
