suboptimal_15.csv Suboptimal
d,count
15,16.00
17,22.00
19,73.00
21,96.00
23,230.00
25,341.00
27,681.00
29,1192.00
31,2215.00
33,3676.00
35,6591.00
37,10458.00
39,15365.00
41,20865.00
43,25612.00
45,28075.00
47,26402.00
49,20676.00
51,12008.00
53,5167.00
55,1457.00
57,209.00
59,13.00
