augrat
18,18
     0,    -2, -1.75,  -1.5, -1.25,    -1, -0.75,  -0.5, -0.25,     0,  0.25,   0.5,  0.75,     1,  1.25,   1.5,  1.75,     2
    -2,-0.9084,-0.7372,-0.03846,0.6191,0.8832, 0.947,0.9701,0.9809,0.9868,0.9903,0.9926,0.9942,0.9953,0.9961,0.9967,0.9972,0.9976
 -1.75,-0.9498,-0.8919,-0.6614,0.00597,0.7068,0.9016, 0.953,0.9728,0.9823,0.9876,0.9908, 0.993,0.9944,0.9955,0.9963,0.9968,0.9973
  -1.5,-0.9685,-0.9431,-0.8707,-0.5564,0.1119,0.7701,0.9161,0.9581,0.9751,0.9835,0.9883,0.9913,0.9933,0.9946,0.9956,0.9964,0.9969
 -1.25,-0.9785,-0.9652,-0.935,-0.843,-0.4151,0.2857,0.8162,0.9277,0.9624,0.9771,0.9846, 0.989,0.9917,0.9936,0.9949,0.9958,0.9965
    -1,-0.9844,-0.9766,-0.9614,-0.9251,-0.8063,-0.242, 0.453,0.8505,0.9371,0.9661,0.9789,0.9856,0.9896,0.9921,0.9938,0.9951,0.9959
 -0.75,-0.9882,-0.9833,-0.9745,-0.9569,-0.9129,-0.7565,-0.07635,0.5851,0.8764,0.9448,0.9692,0.9805,0.9865,0.9902,0.9925,0.9941,0.9952
  -0.5,-0.9907,-0.9874,-0.982,-0.9722,-0.9516,-0.8976,-0.688,-9.999e-005,0.6822,0.8963,0.9512, 0.972,0.9819,0.9874,0.9907,0.9929,0.9943
 -0.25,-0.9925,-0.9902,-0.9866,-0.9806,-0.9694,-0.9453,-0.878,-0.5932,0.06678,0.7522,0.9119,0.9566,0.9744,0.9832,0.9881,0.9912,0.9932
     0,-0.9939,-0.9922,-0.9897,-0.9857,-0.979,-0.9663,-0.9377,-0.8526,-0.4638, 0.229,0.8032,0.9243,0.9611,0.9765,0.9843,0.9888,0.9916
  0.25,-0.9949,-0.9936,-0.9918,-0.989,-0.9847,-0.9772,-0.9627,-0.9285,-0.819,-0.2986,0.4035,0.8407,0.9343, 0.965,0.9784,0.9853,0.9894
   0.5,-0.9956,-0.9947,-0.9933,-0.9913,-0.9884,-0.9836,-0.9752,-0.9584,-0.9171,-0.7739,-0.1233,0.5475,0.8689,0.9425,0.9683,  0.98,0.9863
  0.75,-0.9963,-0.9955,-0.9944,-0.993,-0.9909,-0.9877,-0.9824,-0.973,-0.9534,-0.9028,-0.712,-0.009417,0.6549,0.8906,0.9493,0.9712,0.9815
     1,-0.9968,-0.9961,-0.9953,-0.9942,-0.9926,-0.9904,-0.9869,-0.981,-0.9703,-0.9474,-0.8847,-0.6265,0.03138,0.7326,0.9074, 0.955,0.9737
  1.25,-0.9972,-0.9966,-0.996,-0.9951,-0.9939,-0.9923,-0.9898,-0.986,-0.9795,-0.9673,-0.9403,-0.8614,-0.5087,0.1731,0.7888,0.9207,0.9597
   1.5,-0.9975,-0.9971,-0.9965,-0.9958,-0.9949,-0.9937,-0.9919,-0.9892,-0.985,-0.9778,-0.9639,-0.9316,-0.8307,-0.3538,0.3507,0.8301,0.9314
  1.75,-0.9978,-0.9974,-0.997,-0.9964,-0.9957,-0.9947,-0.9934,-0.9915,-0.9886,-0.984,-0.9759,-0.9598,-0.9209,-0.7896,-0.1762,0.5062,0.8609
     2,-0.998,-0.9977,-0.9973,-0.9969,-0.9963,-0.9955,-0.9945,-0.9931,-0.991,-0.9879,-0.9828,-0.9737,-0.9551,-0.9076,-0.7337,-0.03309,0.6246
