National Instruments VirtualBench-Scope 2.1.1 Report
Date Created:	10/26/99	2:47:09 PM

USER NAME:	200gB
0.100500	6.342238
0.101000	6.332319
0.101500	6.320539
0.102000	6.316820
0.102500	6.313100
0.103000	6.307520
0.103500	6.303180
0.104000	6.304420
0.104500	6.307520
0.105000	6.308760
0.105500	6.308140
0.106000	6.316820
0.106500	6.321159
0.107000	6.319300
0.107500	6.321159
0.108000	6.321779
0.108500	6.324879
0.109000	6.329839
0.109500	6.331079
0.110000	6.327359
0.110500	6.329839
0.111000	6.323019
0.111500	6.321779
0.112000	6.324259
0.112500	6.317440
0.113000	6.314340
0.113500	6.310620
0.114000	6.303801
0.114500	6.301321
0.115000	6.295741
0.115500	6.292021
0.116000	6.288301
0.116500	6.287061
0.117000	6.289541
0.117500	6.292021
0.118000	6.295121
0.118500	6.298841
0.119000	6.298841
0.119500	6.302560
0.120000	6.308140
0.120500	6.316200
0.121000	6.322399
0.121500	6.337278
0.122000	6.349678
0.122500	6.362697
0.123000	6.380676
0.123500	6.388115
0.124000	6.401755
0.124500	6.407334
0.125000	6.425313
0.125500	6.435853
0.126000	6.442672
0.126500	6.453212
0.127000	6.458792
0.127500	6.455072
0.128000	6.450732
0.128500	6.449492
0.129000	6.443913
0.129500	6.435853
0.130000	6.435233
0.130500	6.427173
0.131000	6.422833
0.131500	6.419114
0.132000	6.414774
0.132500	6.415394
0.133000	6.414774
0.133500	6.416014
0.134000	6.413534
0.134500	6.414154
0.135000	6.412294
0.135500	6.411674
