control
420,3
12.7,3.591,-79.52
12.75,3.879,-78.68
12.8,4.162,-77.64
12.85,4.439,-76.41
12.9,4.711,-75
12.95,4.978,-73.39
13,5.239,-71.6
13.05,5.495,-69.63
13.1,5.745,-67.47
13.15,5.99,-65.12
13.2,6.229,-62.59
13.25,6.463,-59.88
13.3,6.692,-56.99
13.35,6.915,-53.92
13.4,7.132,-50.67
13.45,7.344,-47.24
13.5,7.549,-43.64
13.55,7.75,-39.87
13.6,7.944,-35.93
13.65,8.133,-31.82
13.7,8.315,-27.55
13.75,8.492,-23.11
13.8,8.662,-18.52
13.85,8.827,-13.76
13.9,8.985,-8.856
13.95,9.137,-3.801
14,9.282,1.4
14.05,9.42,6.743
14.1,9.552,12.22
14.15,9.677,17.83
14.2,9.795,23.57
14.25,9.905,29.43
14.3,10.01,35.4
14.35,10.1,41.47
14.4,10.19,47.64
14.45,10.26,53.89
14.5,10.33,60.22
14.55,10.38,66.6
14.6,10.42,73.01
14.65,10.45,79.44
14.7,10.46,85.83
14.75,10.45,92.14
14.8,10.42,98.29
14.85,10.33,104.1
14.9,10.18,109.2
14.95,9.55,109.7
15,0.4477,25.02
15.05,-0.05519,20.22
15.1,-0.04613,20.2
15.15,-0.02541,20.31
15.2,-0.01433,20.33
15.25,-0.008897,20.3
15.3,-0.006264,20.25
15.35,-0.004989,20.18
15.4,-0.004373,20.11
15.45,-0.004074,20.04
15.5,-0.00393,19.97
15.55,-0.00386,19.89
15.6,-0.003826,19.82
15.65,-0.00381,19.74
15.7,-0.003802,19.67
15.75,-0.003798,19.59
15.8,-0.003796,19.52
15.85,-0.003795,19.44
15.9,-0.003795,19.37
15.95,-0.003794,19.29
16,-0.003794,19.22
16.05,-0.003794,19.14
16.1,-0.003794,19.07
16.15,-0.003794,18.99
16.2,-0.003794,18.92
16.25,-0.003794,18.84
16.3,-0.003794,18.77
16.35,-0.003794,18.69
16.4,-0.003794,18.62
16.45,-0.003794,18.54
16.5,-0.003794,18.47
16.55,-0.003794,18.39
16.6,-0.003794,18.32
16.65,-0.003794,18.24
16.7,-0.003794,18.17
16.75,-0.003794,18.09
16.8,-0.003794,18.02
16.85,-0.003794,17.94
16.9,-0.003794,17.87
16.95,-0.003794,17.79
17,-0.003794,17.72
17.05,-0.003794,17.64
17.1,-0.003794,17.57
17.15,-0.003794,17.49
17.2,-0.003794,17.42
17.25,-0.003794,17.34
17.3,-0.003794,17.27
17.35,-0.003794,17.19
17.4,-0.003794,17.12
17.45,-0.003794,17.04
17.5,-0.003794,16.97
17.55,-0.003794,16.89
17.6,-0.003794,16.82
17.65,-0.003794,16.74
17.7,-0.003794,16.67
17.75,-0.003794,16.59
17.8,-0.003794,16.52
17.85,-0.003794,16.44
17.9,-0.003794,16.37
17.95,-0.003794,16.29
18,-0.003794,16.22
18.05,-0.003794,16.14
18.1,-0.003794,16.07
18.15,-0.003794,15.99
18.2,-0.003794,15.92
18.25,-0.003794,15.84
18.3,-0.003794,15.77
18.35,-0.003794,15.69
18.4,-0.003794,15.62
18.45,-0.003794,15.54
18.5,-0.003794,15.47
18.55,-0.003794,15.39
18.6,-0.003794,15.32
18.65,-0.003794,15.24
18.7,-0.003794,15.17
18.75,-0.003794,15.09
18.8,-0.003794,15.02
18.85,-0.003794,14.94
18.9,-0.003794,14.87
18.95,-0.003794,14.79
19,-0.003794,14.72
19.05,-0.003794,14.64
19.1,-0.003794,14.57
19.15,-0.003794,14.49
19.2,-0.003794,14.42
19.25,-0.003794,14.34
19.3,-0.003794,14.27
19.35,-0.003794,14.19
19.4,-0.003794,14.12
19.45,-0.003794,14.04
19.5,-0.003794,13.97
19.55,-0.003794,13.89
19.6,-0.003794,13.82
19.65,-0.003794,13.74
19.7,-0.003794,13.67
19.75,-0.003794,13.59
19.8,-0.003794,13.52
19.85,-0.003794,13.44
19.9,-0.003794,13.37
19.95,-0.003794,13.29
20,-0.003794,13.22
20.05,-0.003794,13.14
20.1,-0.003794,13.07
20.15,-0.003794,12.99
20.2,-0.003794,12.92
20.25,-0.003794,12.84
20.3,-0.003794,12.77
20.35,-0.003794,12.69
20.4,-0.003794,12.62
20.45,-0.003794,12.54
20.5,-0.003794,12.47
20.55,-0.003794,12.39
20.6,-0.003794,12.32
20.65,-0.003794,12.24
20.7,-0.003794,12.17
20.75,-0.003794,12.09
20.8,-0.003794,12.02
20.85,-0.003794,11.94
20.9,-0.003794,11.87
20.95,-0.003794,11.79
