critical
2101,3
2.64,30.01,14.74
2.65,30.16,14.72
2.66,30.31,14.69
2.67,30.45,14.66
2.68,30.6,14.64
2.69,30.75,14.61
2.7,30.89,14.58
2.71,31.04,14.56
2.72,31.18,14.53
2.73,31.33,14.5
2.74,31.47,14.47
2.75,31.62,14.44
2.76,31.76,14.41
2.77,31.91,14.38
2.78,32.05,14.35
2.79,32.19,14.32
2.8,32.34,14.28
2.81,32.48,14.25
2.82,32.62,14.22
2.83,32.76,14.18
2.84,32.9,14.15
2.85,33.05,14.12
2.86,33.19,14.08
2.87,33.33,14.05
2.88,33.47,14.01
2.89,33.61,13.98
2.9,33.75,13.94
2.91,33.89,13.9
2.92,34.03,13.87
2.93,34.16,13.83
2.94,34.3,13.79
2.95,34.44,13.75
2.96,34.58,13.71
2.97,34.71,13.67
2.98,34.85,13.63
2.99,34.99,13.6
3,35.12,13.56
3.01,35.26,13.51
3.02,35.39,13.47
3.03,35.53,13.43
3.04,35.66,13.39
3.05,35.8,13.35
3.06,35.93,13.3
3.07,36.06,13.26
3.08,36.19,13.22
3.09,36.33,13.17
3.1,36.46,13.13
3.11,36.59,13.08
3.12,36.72,13.04
3.13,36.85,12.99
3.14,36.98,12.95
3.15,37.11,12.9
3.16,37.24,12.86
3.17,37.37,12.81
3.18,37.49,12.76
3.19,37.62,12.71
3.2,37.75,12.67
3.21,37.87,12.62
3.22,38,12.57
3.23,38.13,12.52
3.24,38.25,12.47
3.25,38.37,12.42
3.26,38.5,12.37
3.27,38.62,12.32
3.28,38.74,12.27
3.29,38.87,12.22
3.3,38.99,12.17
3.31,39.11,12.11
3.32,39.23,12.06
3.33,39.35,12.01
3.34,39.47,11.95
3.35,39.59,11.9
3.36,39.71,11.85
3.37,39.83,11.79
3.38,39.95,11.74
3.39,40.06,11.68
3.4,40.18,11.63
3.41,40.3,11.57
3.42,40.41,11.52
3.43,40.53,11.46
3.44,40.64,11.41
3.45,40.75,11.35
3.46,40.87,11.29
3.47,40.98,11.23
3.48,41.09,11.18
3.49,41.2,11.12
3.5,41.31,11.06
3.51,41.42,11
3.52,41.53,10.94
3.53,41.64,10.88
3.54,41.75,10.83
3.55,41.86,10.77
3.56,41.97,10.71
3.57,42.07,10.64
3.58,42.18,10.58
3.59,42.29,10.52
3.6,42.39,10.46
3.61,42.49,10.4
3.62,42.6,10.34
3.63,42.7,10.28
3.64,42.8,10.21
3.65,42.91,10.15
3.66,43.01,10.09
3.67,43.11,10.02
3.68,43.21,9.96
3.69,43.31,9.897
3.7,43.41,9.834
3.71,43.5,9.768
3.72,43.6,9.703
3.73,43.7,9.638
3.74,43.79,9.573
3.75,43.89,9.509
3.76,43.98,9.442
3.77,44.08,9.375
3.78,44.17,9.309
3.79,44.26,9.243
3.8,44.36,9.178
3.81,44.45,9.109
3.82,44.54,9.041
3.83,44.63,8.974
3.84,44.72,8.906
3.85,44.81,8.84
3.86,44.89,8.77
3.87,44.98,8.701
3.88,45.07,8.632
3.89,45.15,8.564
3.9,45.24,8.496
3.91,45.32,8.425
3.92,45.41,8.354
3.93,45.49,8.284
3.94,45.57,8.215
3.95,45.66,8.146
3.96,45.74,8.073
3.97,45.82,8.002
3.98,45.9,7.931
3.99,45.98,7.86
4,46.05,7.79
4.01,46.13,7.717
4.02,46.21,7.644
4.03,46.28,7.572
4.04,46.36,7.5
4.05,46.43,7.429
4.06,46.51,7.354
4.07,46.58,7.28
4.08,46.65,7.207
4.09,46.73,7.135
4.1,46.8,7.063
4.11,46.87,6.987
4.12,46.94,6.912
4.13,47.01,6.838
4.14,47.07,6.764
4.15,47.14,6.692
4.16,47.21,6.615
4.17,47.27,6.539
4.18,47.34,6.464
4.19,47.4,6.39
4.2,47.47,6.316
4.21,47.53,6.238
4.22,47.59,6.162
4.23,47.65,6.086
4.24,47.71,6.01
4.25,47.77,5.936
4.26,47.83,5.857
4.27,47.89,5.78
4.28,47.95,5.703
4.29,48,5.627
4.3,48.06,5.552
4.31,48.11,5.473
4.32,48.17,5.394
4.33,48.22,5.317
4.34,48.27,5.24
4.35,48.33,5.164
4.36,48.38,5.084
4.37,48.43,5.005
4.38,48.48,4.927
4.39,48.53,4.849
4.4,48.58,4.773
4.41,48.62,4.692
4.42,48.67,4.612
4.43,48.71,4.534
4.44,48.76,4.456
4.45,48.8,4.379
4.46,48.85,4.297
4.47,48.89,4.217
4.48,48.93,4.138
4.49,48.97,4.059
4.5,49.01,3.982
