suboptimal_25.csv Suboptimal
d,count
25,26.00
27,300.00
29,722.00
31,1587.00
33,3130.00
35,5754.00
37,9970.00
39,16204.00
41,23170.00
43,29017.00
45,30871.00
47,27611.00
49,18647.00
51,9724.00
53,3540.00
55,970.00
57,185.00
59,12.00
