W
31,1
4.655
-0.8333
1.433
0.7675
0.7763
0.6416
0.7623
-0.971
2.14
0.8311
-1.082
-1.104
0.8261
0.8317
-0.7941
-1.827
0.7022
-1.944
1.137
-1.053
-2.854
-0.9076
-0.8789
1.261
-1.088
-1.636
-1.114
-1.27
-1.482
1.071
0.8042
