National Instruments VirtualBench-Scope 2.1.1 Report
Date Created:	10/26/99	2:42:07 PM

USER NAME:	50gB
COMMENTS:	zoomed in 
START DATA
Time	Ch 0
0.000000	6.526988
0.000500	6.528227
0.001000	6.530707
0.001500	6.526988
0.002000	6.523888
0.002500	6.520168
0.003000	6.504669
0.003500	6.496609
0.004000	6.484830
0.004500	6.475531
0.005000	6.458171
0.005500	6.446392
0.006000	6.441432
0.006500	6.425933
0.007000	6.409814
0.007500	6.399895
0.008000	6.384396
0.008500	6.371377
0.009000	6.351538
0.009500	6.338519
0.010000	6.329219
0.010500	6.318059
0.011000	6.313100
0.011500	6.305660
0.012000	6.301940
0.012500	6.301321
0.013000	6.298221
0.013500	6.298221
0.014000	6.298841
0.014500	6.297601
0.015000	6.298221
0.015500	6.298841
0.016000	6.298841
0.016500	6.300081
0.017000	6.295741
0.017500	6.297601
0.018000	6.302560
0.018500	6.304420
0.019000	6.306280
0.019500	6.307520
0.020000	6.314960
0.020500	6.312480
0.021000	6.314340
0.021500	6.316200
0.022000	6.315580
0.022500	6.319920
0.023000	6.321159
0.023500	6.324879
0.024000	6.324259
0.024500	6.327359
0.025000	6.327359
0.025500	6.323019
0.026000	6.327359
0.026500	6.329219
0.027000	6.331699
0.027500	6.336039
0.028000	6.340378
0.028500	6.346578
0.029000	6.354018
0.029500	6.358357
0.030000	6.366417
0.030500	6.373857
0.031000	6.380676
0.031500	6.389356
0.032000	6.394935
0.032500	6.399895
0.033000	6.407954
0.033500	6.413534
0.034000	6.412914
0.034500	6.420354
0.035000	6.431513
0.035500	6.435853
0.036000	6.439573
0.036500	6.450112
0.037000	6.452592
0.037500	6.451972
0.038000	6.453212
0.038500	6.456312
0.039000	6.455692
0.039500	6.458792
0.040000	6.464371
0.040500	6.461891
0.041000	6.460032
0.041500	6.458171
0.042000	6.457551
0.042500	6.446392
0.043000	6.442672
0.043500	6.440193
0.044000	6.432133
0.044500	6.427173
0.045000	6.420974
0.045500	6.419114
0.046000	6.416014
0.046500	6.409194
0.047000	6.406714
0.047500	6.407334
0.048000	6.397415
0.048500	6.394315
0.049000	6.393695
0.049500	6.382536
0.050000	6.377576
0.050500	6.365797
0.051000	6.358977
0.051500	6.357737
0.052000	6.354638
0.052500	6.355877
0.053000	6.352777
0.053500	6.352158
0.054000	6.352158
0.054500	6.343478
0.055000	6.342238
0.055500	6.342238
0.056000	6.339758
0.056500	6.338519
0.057000	6.334799
0.057500	6.332939
0.058000	6.334178
0.058500	6.336039
0.059000	6.332939
0.059500	6.329219
0.060000	6.331079
0.060500	6.337278
0.061000	6.337278
0.061500	6.337278
0.062000	6.343478
0.062500	6.348438
0.063000	6.349058
0.063500	6.349678
0.064000	6.360217
0.064500	6.362077
0.065000	6.363317
0.065500	6.373236
0.066000	6.373857
0.066500	6.373857
0.067000	6.375716
0.067500	6.368896
0.068000	6.374476
0.068500	6.373857
0.069000	6.370137
0.069500	6.371996
0.070000	6.370137
0.070500	6.365177
0.071000	6.357117
0.071500	6.355877
0.072000	6.350298
0.072500	6.341618
0.073000	6.336658
0.073500	6.338519
0.074000	6.336658
0.074500	6.335419
0.075000	6.334178
0.075500	6.333559
0.076000	6.329839
0.076500	6.337898
0.077000	6.336658
0.077500	6.340998
0.078000	6.347818
0.078500	6.352158
0.079000	6.362697
0.079500	6.365797
0.080000	6.380056
0.080500	6.386256
0.081000	6.393695
0.081500	6.401755
0.082000	6.407334
0.082500	6.415394
0.083000	6.420974
0.083500	6.432753
0.084000	6.428413
0.084500	6.435233
0.085000	6.433993
0.085500	6.436473
0.086000	6.437093
0.086500	6.434613
0.087000	6.435233
0.087500	6.432133
0.088000	6.431513
0.088500	6.424074
0.089000	6.423453
0.089500	6.422214
0.090000	6.423453
0.090500	6.416014
0.091000	6.414774
0.091500	6.411054
0.092000	6.406095
0.092500	6.401755
0.093000	6.397415
0.093500	6.391835
0.094000	6.388735
0.094500	6.385636
0.095000	6.388735
0.095500	6.383156
0.096000	6.382536
0.096500	6.380676
0.097000	6.380676
0.097500	6.376336
0.098000	6.371996
0.098500	6.374476
0.099000	6.370137
0.099500	6.366417
0.100000	6.359597
0.100500	6.352777
0.101000	6.349058
0.101500	6.341618
0.102000	6.336658
0.102500	6.338519
0.103000	6.331699
0.103500	6.329839
0.104000	6.327979
0.104500	6.325499
0.105000	6.321779
0.105500	6.316820
0.106000	6.319300
0.106500	6.314960
0.107000	6.313100
0.107500	6.313100
0.108000	6.315580
0.108500	6.318059
0.109000	6.314960
0.109500	6.315580
0.110000	6.318059
0.110500	6.323019
0.111000	6.323019
0.111500	6.324879
0.112000	6.328599
0.112500	6.331699
0.113000	6.329839
0.113500	6.324259
0.114000	6.327359
0.114500	6.332939
0.115000	6.330459
0.115500	6.331079
0.116000	6.335419
0.116500	6.337278
0.117000	6.337898
0.117500	6.340378
0.118000	6.350298
0.118500	6.358977
0.119000	6.366417
0.119500	6.379436
0.120000	6.387496
0.120500	6.395555
0.121000	6.405475
0.121500	6.419114
0.122000	6.428413
0.122500	6.441432
0.123000	6.448252
0.123500	6.453212
0.124000	6.456932
0.124500	6.463751
0.125000	6.469331
0.125500	6.473670
0.126000	6.476151
0.126500	6.476770
0.127000	6.478631
0.127500	6.474911
0.128000	6.473670
0.128500	6.462512
0.129000	6.459412
0.129500	6.451972
0.130000	6.439573
0.130500	6.430273
0.131000	6.419734
0.131500	6.404855
0.132000	6.394315
0.132500	6.385016
0.133000	6.375096
0.133500	6.367037
0.134000	6.357737
0.134500	6.351538
0.135000	6.347198
0.135500	6.349678
0.136000	6.352158
0.136500	6.350918
0.137000	6.355258
0.137500	6.359597
0.138000	6.362697
0.138500	6.367657
0.139000	6.373857
0.139500	6.381916
0.140000	6.389356
0.140500	6.389356
0.141000	6.384396
0.141500	6.383776
0.142000	6.383156
0.142500	6.376336
0.143000	6.372616
0.143500	6.368277
0.144000	6.361457
0.144500	6.350298
0.145000	6.340998
0.145500	6.338519
0.146000	6.331699
0.146500	6.320539
0.147000	6.313100
0.147500	6.303801
0.148000	6.293881
0.148500	6.282102
0.149000	6.274662
0.149500	6.274042
0.150000	6.280862
0.150500	6.313720
0.151000	6.380676
0.151500	6.489790
0.152000	6.639821
0.152500	6.824571
0.153000	7.016760
0.153500	7.226928
0.154000	7.425936
0.154500	7.606966
0.155000	7.783036
0.155500	7.906409
0.156000	8.017383
0.156500	8.121536
0.157000	8.193453
0.157500	8.221971
0.158000	8.242430
0.158500	8.201512
0.159000	8.112857
0.159500	7.981425
0.160000	7.858052
0.160500	7.729719
0.161000	7.561089
0.161500	7.363940
0.162000	7.176711
0.162500	6.986382
0.163000	6.805352
0.163500	6.631142
0.164000	6.457551
0.164500	6.297601
0.165000	6.155009
0.165500	6.033496
0.166000	5.975219
0.166500	5.987618
0.167000	5.970259
0.167500	5.998778
0.168000	6.043415
0.168500	5.988238
0.169000	5.956000
0.169500	5.951040
0.170000	5.982659
0.170500	5.944841
0.171000	5.960960
0.171500	5.933681
0.172000	5.944841
0.172500	6.003737
0.173000	6.157489
0.173500	6.386876
0.174000	6.605723
0.174500	6.787373
0.175000	6.949183
0.175500	7.186630
0.176000	7.476773
0.176500	7.758857
0.177000	7.993204
0.177500	8.208952
0.178000	8.445778
0.178500	8.701203
0.179000	8.894632
0.179500	9.021106
0.180000	9.149438
0.180500	9.294510
0.181000	9.389364
0.181500	9.409204
0.182000	9.410443
