n=10000 Pdest=0.10
 p1 30/30 Pd=1.00
 p2 3/30 Pd=0.10
 p3 25/30 Pd=0.83
 p4 20/30 Pd=0.67
 p5 3/30 Pd=0.10
 p6 19/30 Pd=0.63
 p7 30/30 Pd=1.00
 p8 11/30 Pd=0.37
 p9 19/30 Pd=0.63
 p10 23/30 Pd=0.77
 p11 17/30 Pd=0.57
 p12 21/30 Pd=0.70
 p13 30/30 Pd=1.00
 p14 30/30 Pd=1.00
 p15 21/30 Pd=0.70
 p16 9/30 Pd=0.30
 p17 24/30 Pd=0.80
 p18 14/30 Pd=0.47
 p19 29/30 Pd=0.97
 p20 21/30 Pd=0.70
 Pdavg=0.67 Pdest=0.66
n=125000 Pdest=0.74
 p1 30/30 Pd=1.00
 p2 11/30 Pd=0.37
 p3 24/30 Pd=0.80
 p4 15/30 Pd=0.50
 p5 6/30 Pd=0.20
 p6 26/30 Pd=0.87
 p7 30/30 Pd=1.00
 p8 12/30 Pd=0.40
 p9 22/30 Pd=0.73
 p10 22/30 Pd=0.73
 p11 19/30 Pd=0.63
 p12 22/30 Pd=0.73
 p13 29/30 Pd=0.97
 p14 30/30 Pd=1.00
 p15 23/30 Pd=0.77
 p16 16/30 Pd=0.53
 p17 26/30 Pd=0.87
 p18 18/30 Pd=0.60
 p19 30/30 Pd=1.00
 p20 22/30 Pd=0.73
 Pdavg=0.72 Pdest=0.74
n=150000 Pdest=0.80
 p1 30/30 Pd=1.00
 p2 7/30 Pd=0.23
 p3 28/30 Pd=0.93
 p4 15/30 Pd=0.50
 p5 10/30 Pd=0.33
 p6 25/30 Pd=0.83
 p7 30/30 Pd=1.00
 p8 16/30 Pd=0.53
 p9 25/30 Pd=0.83
 p10 25/30 Pd=0.83
 p11 25/30 Pd=0.83
 p12 27/30 Pd=0.90
 p13 29/30 Pd=0.97
 p14 29/30 Pd=0.97
 p15 26/30 Pd=0.87
 p16 12/30 Pd=0.40
 p17 26/30 Pd=0.87
 p18 15/30 Pd=0.50
 p19 30/30 Pd=1.00
 p20 21/30 Pd=0.70
 Pdavg=0.75 Pdest=0.80
