n=10000 Pdest=0.10
 p1 10/10 Pd=1.00
 p2 1/10 Pd=0.10
 p3 7/10 Pd=0.70
 p4 3/10 Pd=0.30
 p5 2/10 Pd=0.20
 p6 8/10 Pd=0.80
 p7 9/10 Pd=0.90
 p8 4/10 Pd=0.40
 p9 7/10 Pd=0.70
 p10 9/10 Pd=0.90
 p11 7/10 Pd=0.70
 p12 9/10 Pd=0.90
 p13 10/10 Pd=1.00
 p14 10/10 Pd=1.00
 p15 10/10 Pd=1.00
 p16 7/10 Pd=0.70
 p17 8/10 Pd=0.80
 p18 8/10 Pd=0.80
 p19 10/10 Pd=1.00
 p20 5/10 Pd=0.50
 Pdavg=0.72 Pdest=0.66
n=125000 Pdest=0.74
 p1 10/10 Pd=1.00
 p2 2/10 Pd=0.20
 p3 8/10 Pd=0.80
 p4 5/10 Pd=0.50
 p5 1/10 Pd=0.10
 p6 8/10 Pd=0.80
 p7 10/10 Pd=1.00
 p8 5/10 Pd=0.50
 p9 9/10 Pd=0.90
 p10 10/10 Pd=1.00
 p11 7/10 Pd=0.70
 p12 9/10 Pd=0.90
 p13 9/10 Pd=0.90
 p14 10/10 Pd=1.00
 p15 6/10 Pd=0.60
 p16 6/10 Pd=0.60
 p17 9/10 Pd=0.90
 p18 6/10 Pd=0.60
 p19 10/10 Pd=1.00
 p20 8/10 Pd=0.80
 Pdavg=0.74 Pdest=0.74
n=150000 Pdest=0.80
 p1 10/10 Pd=1.00
 p2 5/10 Pd=0.50
 p3 9/10 Pd=0.90
 p4 8/10 Pd=0.80
 p5 4/10 Pd=0.40
 p6 9/10 Pd=0.90
 p7 10/10 Pd=1.00
 p8 1/10 Pd=0.10
 p9 9/10 Pd=0.90
 p10 10/10 Pd=1.00
 p11 7/10 Pd=0.70
 p12 9/10 Pd=0.90
 p13 10/10 Pd=1.00
 p14 10/10 Pd=1.00
 p15 8/10 Pd=0.80
 p16 6/10 Pd=0.60
 p17 9/10 Pd=0.90
 p18 7/10 Pd=0.70
 p19 10/10 Pd=1.00
 p20 7/10 Pd=0.70
 Pdavg=0.79 Pdest=0.80
n=175000 Pdest=0.85
 p1 10/10 Pd=1.00
 p2 3/10 Pd=0.30
 p3 10/10 Pd=1.00
 p4 7/10 Pd=0.70
 p5 5/10 Pd=0.50
 p6 10/10 Pd=1.00
 p7 10/10 Pd=1.00
 p8 6/10 Pd=0.60
 p9 9/10 Pd=0.90
 p10 8/10 Pd=0.80
 p11 8/10 Pd=0.80
 p12 7/10 Pd=0.70
 p13 10/10 Pd=1.00
 p14 10/10 Pd=1.00
 p15 9/10 Pd=0.90
 p16 4/10 Pd=0.40
 p17 9/10 Pd=0.90
 p18 7/10 Pd=0.70
 p19 10/10 Pd=1.00
 p20 5/10 Pd=0.50
 Pdavg=0.79 Pdest=0.85
n=200000 Pdest=0.88
 p1 10/10 Pd=1.00
 p2 5/10 Pd=0.50
 p3 9/10 Pd=0.90
 p4 4/10 Pd=0.40
 p5 2/10 Pd=0.20
 p6 10/10 Pd=1.00
 p7 10/10 Pd=1.00
 p8 5/10 Pd=0.50
 p9 8/10 Pd=0.80
 p10 10/10 Pd=1.00
 p11 7/10 Pd=0.70
 p12 8/10 Pd=0.80
 p13 10/10 Pd=1.00
 p14 10/10 Pd=1.00
 p15 10/10 Pd=1.00
 p16 8/10 Pd=0.80
 p17 9/10 Pd=0.90
 p18 8/10 Pd=0.80
 p19 10/10 Pd=1.00
 p20 7/10 Pd=0.70
 Pdavg=0.80 Pdest=0.88
n=250000 Pdest=0.93
 p1 10/10 Pd=1.00
 p2 5/10 Pd=0.50
 p3 10/10 Pd=1.00
 p4 9/10 Pd=0.90
 p5 4/10 Pd=0.40
 p6 9/10 Pd=0.90
 p7 10/10 Pd=1.00
 p8 5/10 Pd=0.50
 p9 9/10 Pd=0.90
 p10 10/10 Pd=1.00
 p11 10/10 Pd=1.00
 p12 10/10 Pd=1.00
 p13 10/10 Pd=1.00
 p14 10/10 Pd=1.00
 p15 9/10 Pd=0.90
 p16 8/10 Pd=0.80
 p17 10/10 Pd=1.00
 p18 9/10 Pd=0.90
 p19 10/10 Pd=1.00
 p20 10/10 Pd=1.00
 Pdavg=0.89 Pdest=0.93
n=300000 Pdest=0.96
 p1 10/10 Pd=1.00
 p2 3/10 Pd=0.30
 p3 10/10 Pd=1.00
 p4 7/10 Pd=0.70
 p5 3/10 Pd=0.30
 p6 10/10 Pd=1.00
 p7 10/10 Pd=1.00
 p8 8/10 Pd=0.80
 p9 10/10 Pd=1.00
 p10 10/10 Pd=1.00
 p11 10/10 Pd=1.00
 p12 10/10 Pd=1.00
 p13 10/10 Pd=1.00
 p14 10/10 Pd=1.00
 p15 8/10 Pd=0.80
 p16 8/10 Pd=0.80
 p17 10/10 Pd=1.00
 p18 7/10 Pd=0.70
 p19 10/10 Pd=1.00
 p20 10/10 Pd=1.00
 Pdavg=0.87 Pdest=0.96
