result
26,26
     0,    -3, -2.75,  -2.5, -2.25,    -2, -1.75,  -1.5, -1.25,    -1, -0.75,  -0.5, -0.25,     0,  0.25,   0.5,  0.75,     1,  1.25,   1.5,  1.75,     2,  2.25,   2.5,  2.75,     3
    -3,     2,     2,     2,     2,     2,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3
 -2.75,     2,     2,     2,     2,     2,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3
  -2.5,     2,     2,     2,     2,     2,     2,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3
 -2.25,     2,     2,     2,     2,     2,     2,     2,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     1
    -2,     2,     2,     2,     2,     2,     2,     2,     2,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     1,     1
 -1.75,     2,     2,     2,     2,     2,     2,     2,     2,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     1,     1,     1
  -1.5,     2,     2,     2,     2,     2,     2,     2,     2,     2,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     1,     1,     1
 -1.25,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     1,     1,     1,     1
    -1,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     3,     3,     3,     3,     3,     3,     3,     3,     3,     3,     1,     1,     1,     1,     1
 -0.75,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     3,     3,     3,     3,     3,     3,     3,     3,     1,     1,     1,     1,     1,     1
  -0.5,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     3,     3,     3,     3,     3,     3,     3,     1,     1,     1,     1,     1,     1
 -0.25,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     3,     3,     3,     3,     3,     3,     1,     1,     1,     1,     1,     1,     1
     0,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     3,     3,     3,     3,     1,     1,     1,     1,     1,     1,     1,     1
  0.25,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     3,     3,     1,     1,     1,     1,     1,     1,     1,     1,     1
   0.5,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     3,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1
  0.75,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1
     1,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     0,     0,     1,     1,     1,     1,     1,     1,     1,     1,     1
  1.25,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     0,     0,     0,     1,     1,     1,     1,     1,     1,     1,     1,     1
   1.5,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     0,     0,     0,     0,     0,     1,     1,     1,     1,     1,     1,     1,     1
  1.75,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     0,     0,     0,     0,     0,     0,     1,     1,     1,     1,     1,     1,     1
     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     0,     0,     0,     0,     0,     0,     0,     0,     1,     1,     1,     1,     1,     1
  2.25,     2,     2,     2,     2,     2,     2,     2,     2,     2,     2,     0,     0,     0,     0,     0,     0,     0,     0,     0,     1,     1,     1,     1,     1,     1
   2.5,     2,     2,     2,     2,     2,     2,     2,     2,     2,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     1,     1,     1,     1,     1
  2.75,     2,     2,     2,     2,     2,     2,     2,     2,     2,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     1,     1,     1,     1
     3,     2,     2,     2,     2,     2,     2,     2,     2,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     1,     1,     1,     1
