result
139,7
0,0,0,0,0,0,0
0.05,0.001698,0.0005562,0.0009652,0.0679,0.02225,0.03861
0.1,0.006778,0.002213,0.00385,0.1353,0.04403,0.0768
0.15,0.01522,0.00495,0.008637,0.2024,0.06542,0.1147
0.2,0.02702,0.008746,0.01531,0.2693,0.08643,0.1522
0.25,0.04215,0.01358,0.02384,0.3361,0.1071,0.1892
0.3,0.06063,0.01944,0.03421,0.4028,0.1273,0.2257
0.35,0.08243,0.02631,0.0464,0.4694,0.1472,0.2618
0.4,0.1076,0.03416,0.06038,0.5359,0.1668,0.2974
0.45,0.136,0.04298,0.07612,0.6022,0.186,0.3326
0.5,0.1678,0.05275,0.09363,0.668,0.205,0.3676
0.55,0.2028,0.06347,0.1129,0.7333,0.2236,0.4025
0.6,0.2411,0.07511,0.1339,0.7976,0.242,0.4375
0.65,0.2826,0.08766,0.1566,0.8608,0.2602,0.4728
0.7,0.3271,0.1011,0.1811,0.9224,0.2781,0.5085
0.75,0.3748,0.1155,0.2075,0.9819,0.2958,0.545
0.8,0.4253,0.1307,0.2357,1.039,0.3134,0.5825
0.85,0.4786,0.1468,0.2657,1.093,0.3308,0.6211
0.9,0.5345,0.1638,0.2978,1.143,0.3481,0.6611
0.95,0.5929,0.1816,0.3318,1.19,0.3652,0.7025
1,0.6534,0.2003,0.368,1.231,0.3822,0.7454
1.05,0.7159,0.2198,0.4064,1.268,0.3989,0.7897
1.1,0.7801,0.2402,0.447,1.299,0.4154,0.835
1.15,0.8457,0.2613,0.4899,1.324,0.4316,0.8811
1.2,0.9124,0.2833,0.535,1.343,0.4474,0.9273
1.25,0.9798,0.3061,0.5825,1.356,0.4626,0.9728
1.3,1.048,0.3296,0.6322,1.362,0.4771,1.017
1.35,1.116,0.3538,0.6841,1.364,0.4907,1.058
1.4,1.184,0.3786,0.7379,1.36,0.5032,1.096
1.45,1.252,0.404,0.7936,1.352,0.5143,1.129
1.5,1.319,0.43,0.8507,1.341,0.5238,1.156
1.55,1.386,0.4564,0.909,1.327,0.5314,1.176
1.6,1.452,0.4831,0.9681,1.311,0.5368,1.188
1.65,1.517,0.51,1.028,1.294,0.5396,1.192
1.7,1.581,0.537,1.087,1.277,0.5398,1.187
1.75,1.645,0.5639,1.146,1.26,0.537,1.174
1.8,1.708,0.5906,1.204,1.244,0.5312,1.152
1.85,1.769,0.6169,1.261,1.229,0.5224,1.123
1.9,1.83,0.6428,1.316,1.216,0.5106,1.087
1.95,1.891,0.6679,1.37,1.203,0.496,1.045
2,1.951,0.6923,1.421,1.192,0.4791,0.9994
2.05,2.01,0.7158,1.47,1.182,0.4602,0.9504
2.1,2.069,0.7383,1.516,1.173,0.4398,0.8994
2.15,2.127,0.7598,1.559,1.163,0.4185,0.8476
2.2,2.185,0.7801,1.6,1.154,0.3968,0.7958
2.25,2.243,0.7994,1.639,1.144,0.3752,0.7449
