result
47,7
0,0,0,0,0,0,0
0.05,0.01396,0.006354,0.01521,0.5582,0.2542,0.6084
0.1,0.05624,0.02491,0.05849,1.132,0.4879,1.124
0.15,0.128,0.05455,0.1247,1.735,0.6977,1.528
0.2,0.2305,0.09401,0.2083,2.355,0.8806,1.823
0.25,0.3637,0.1419,0.3043,2.96,1.034,2.03
0.3,0.5259,0.1967,0.4094,3.506,1.159,2.192
0.35,0.7127,0.2571,0.5225,3.941,1.256,2.358
0.4,0.9175,0.3217,0.6447,4.227,1.33,2.558
0.45,1.133,0.3896,0.7773,4.352,1.382,2.775
0.5,1.35,0.4594,0.9194,4.346,1.412,2.93
0.55,1.566,0.5302,1.066,4.263,1.418,2.935
0.6,1.776,0.6006,1.209,4.14,1.397,2.801
0.65,1.979,0.6691,1.345,3.976,1.345,2.651
0.7,2.172,0.7343,1.474,3.766,1.261,2.525
0.75,2.354,0.7946,1.596,3.51,1.153,2.317
0.8,2.521,0.8492,1.705,3.193,1.028,2.031
0.85,2.67,0.8969,1.8,2.79,0.8825,1.746
0.9,2.797,0.9369,1.879,2.301,0.7172,1.37
0.95,2.897,0.9679,1.94,1.7,0.5213,1.046
1,2.965,0.9893,1.975,1.031,0.3338,0.3424
1.05,2.996,0.9984,1.98,0.2012,0.0301,-0.1834
1.1,2.987,0.9929,1.958,-0.5511,-0.2481,-0.6724
1.15,2.942,0.9747,1.913,-1.246,-0.4801,-1.136
1.2,2.864,0.9459,1.847,-1.899,-0.6736,-1.475
1.25,2.755,0.908,1.767,-2.501,-0.8396,-1.678
1.3,2.617,0.8624,1.679,-3.032,-0.9841,-1.822
1.35,2.454,0.8101,1.583,-3.474,-1.11,-1.968
1.4,2.272,0.7519,1.48,-3.821,-1.217,-2.142
1.45,2.075,0.689,1.368,-4.077,-1.301,-2.337
1.5,1.867,0.6225,1.246,-4.243,-1.356,-2.518
1.55,1.653,0.5541,1.117,-4.308,-1.383,-2.652
1.6,1.439,0.485,0.9834,-4.262,-1.381,-2.729
1.65,1.229,0.4165,0.8469,-4.112,-1.356,-2.759
1.7,1.029,0.3499,0.7102,-3.879,-1.309,-2.739
1.75,0.8414,0.2862,0.576,-3.584,-1.241,-2.658
1.8,0.67,0.2263,0.4475,-3.248,-1.155,-2.506
1.85,0.5159,0.1711,0.3285,-2.894,-1.051,-2.27
1.9,0.3795,0.1216,0.2234,-2.549,-0.9295,-1.943
1.95,0.26,0.07866,0.1367,-2.223,-0.7873,-1.531
2,0.157,0.04351,0.07194,-1.893,-0.6187,-1.064
2.05,0.07241,0.01774,0.0304,-1.487,-0.4121,-0.5992
2.1,0.01168,0.001716,0.008006,-0.942,-0.2289,-0.2971
2.15,-0.02497,-0.006422,-0.001332,-0.5241,-0.09661,-0.07647
2.2,-0.04306,-0.009041,-0.001667,-0.1995,-0.008144,0.06308
2.25,-0.04685,-0.008137,0.00328,0.04795,0.04431,0.1348
2.3,-0.03997,-0.005312,0.01056,0.2272,0.0687,0.1564
