result
501,3
8.7,0.3023,-1.91
8.75,0.2055,-1.96
8.8,0.1067,-1.992
8.85,0.006806,-2.003
8.9,-0.09315,-1.995
8.95,-0.1922,-1.966
9,-0.2893,-1.918
9.05,-0.3835,-1.851
9.1,-0.4739,-1.765
9.15,-0.5595,-1.661
9.2,-0.6396,-1.541
9.25,-0.7132,-1.406
9.3,-0.7798,-1.256
9.35,-0.8385,-1.094
9.4,-0.8889,-0.9211
9.45,-0.9304,-0.7389
9.5,-0.9626,-0.5493
9.55,-0.9852,-0.3543
9.6,-0.9979,-0.1556
9.65,-1.001,0.04453
9.7,-0.9934,0.2443
9.75,-0.9763,0.4415
9.8,-0.9493,0.6344
9.85,-0.9129,0.8209
9.9,-0.8674,0.9993
9.95,-0.8132,1.168
10,-0.7509,1.324
10.05,-0.7126,0.213
10.1,-0.7058,0.0598
10.15,-0.7024,0.07375
10.2,-0.6979,0.1068
10.25,-0.6919,0.1343
10.3,-0.6847,0.1542
10.35,-0.6766,0.1682
10.4,-0.668,0.178
10.45,-0.6589,0.1847
10.5,-0.6496,0.1894
10.55,-0.64,0.1927
10.6,-0.6303,0.1949
10.65,-0.6205,0.1965
10.7,-0.6107,0.1976
10.75,-0.6008,0.1983
10.8,-0.5909,0.1989
10.85,-0.5809,0.1992
10.9,-0.5709,0.1995
10.95,-0.561,0.1996
11,-0.551,0.1998
11.05,-0.541,0.1998
11.1,-0.531,0.1999
11.15,-0.521,0.1999
11.2,-0.511,0.2
11.25,-0.501,0.2
11.3,-0.491,0.2
11.35,-0.481,0.2
11.4,-0.471,0.2
11.45,-0.461,0.2
11.5,-0.451,0.2
11.55,-0.441,0.2
11.6,-0.431,0.2
11.65,-0.421,0.2
11.7,-0.411,0.2
11.75,-0.401,0.2
11.8,-0.391,0.2
11.85,-0.381,0.2
11.9,-0.371,0.2
11.95,-0.361,0.2
12,-0.351,0.2
12.05,-0.341,0.2
12.1,-0.331,0.2
12.15,-0.321,0.2
12.2,-0.311,0.2
12.25,-0.301,0.2
12.3,-0.291,0.2
12.35,-0.281,0.2
12.4,-0.271,0.2
12.45,-0.261,0.2
12.5,-0.251,0.2
12.55,-0.241,0.2
12.6,-0.231,0.2
12.65,-0.221,0.2
12.7,-0.211,0.2
12.75,-0.201,0.2
12.8,-0.191,0.2
12.85,-0.181,0.2
12.9,-0.171,0.2
12.95,-0.161,0.2
13,-0.151,0.2
13.05,-0.141,0.2
13.1,-0.131,0.2
13.15,-0.121,0.2
13.2,-0.111,0.2
13.25,-0.101,0.2
13.3,-0.09102,0.2
13.35,-0.08102,0.2
13.4,-0.07102,0.2
13.45,-0.06102,0.2
13.5,-0.05102,0.2
13.55,-0.04102,0.2
13.6,-0.03102,0.2
13.65,-0.02102,0.2
13.7,-0.01102,0.2
13.75,-0.001016,0.2
13.8,0.008984,0.2
13.85,0.01898,0.2
13.9,0.02898,0.2
13.95,0.03898,0.2
14,0.04898,0.2
14.05,0.05898,0.2
14.1,0.06899,0.2
14.15,0.07899,0.2
14.2,0.08899,0.2
14.25,0.09899,0.2
14.3,0.109,0.2
14.35,0.119,0.2
14.4,0.129,0.2
14.45,0.139,0.2
14.5,0.149,0.2
14.55,0.159,0.2
14.6,0.169,0.2
14.65,0.179,0.2
14.7,0.189,0.2
14.75,0.199,0.2
14.8,0.209,0.2
14.85,0.219,0.2
14.9,0.229,0.2
14.95,0.239,0.2
15,0.249,0.2
15.05,0.259,0.2
15.1,0.269,0.2
15.15,0.279,0.2
15.2,0.289,0.2
15.25,0.299,0.2
15.3,0.309,0.2
15.35,0.319,0.2
15.4,0.329,0.2
15.45,0.339,0.2
15.5,0.349,0.2
15.55,0.359,0.2
15.6,0.369,0.2
15.65,0.379,0.2
15.7,0.389,0.2
15.75,0.399,0.2
15.8,0.409,0.2
15.85,0.419,0.2
15.9,0.429,0.2
15.95,0.439,0.2
16,0.449,0.2
16.05,0.459,0.2
16.1,0.469,0.2
16.15,0.479,0.2
16.2,0.489,0.2
16.25,0.499,0.2
16.3,0.509,0.2
16.35,0.519,0.2
16.4,0.529,0.2
16.45,0.539,0.2
16.5,0.549,0.2
16.55,0.559,0.2
16.6,0.569,0.2
16.65,0.579,0.2
16.7,0.589,0.2
16.75,0.599,0.2
16.8,0.609,0.2
16.85,0.619,0.2
16.9,0.629,0.2
