control
269,4
8,-2.416,48.14,-6.011
8.05,-2.191,48.17,-6.178
8.1,-1.97,48.2,-6.339
8.15,-1.752,48.23,-6.494
8.2,-1.537,48.26,-6.642
8.25,-1.326,48.29,-6.784
8.3,-1.118,48.32,-6.919
8.35,-0.9123,48.34,-7.046
8.4,-0.71,48.37,-7.166
8.45,-0.5106,48.39,-7.278
8.5,-0.314,48.42,-7.383
8.55,-0.1202,48.44,-7.48
8.6,0.07089,48.46,-7.569
8.65,0.2592,48.49,-7.65
8.7,0.4448,48.51,-7.722
8.75,0.6277,48.53,-7.786
8.8,0.8079,48.55,-7.842
8.85,0.9852,48.57,-7.889
8.9,1.16,48.59,-7.928
8.95,1.332,48.61,-7.958
9,1.5,48.63,-7.979
9.05,1.666,48.64,-7.991
9.1,1.829,48.66,-7.995
9.15,1.989,48.68,-7.99
9.2,2.146,48.69,-7.976
9.25,2.299,48.71,-7.953
9.3,2.449,48.72,-7.922
9.35,2.596,48.74,-7.881
9.4,2.738,48.75,-7.832
9.45,2.878,48.77,-7.774
9.5,3.013,48.78,-7.708
9.55,3.144,48.79,-7.633
9.6,3.271,48.8,-7.55
9.65,3.394,48.81,-7.458
9.7,3.512,48.83,-7.358
9.75,3.625,48.84,-7.25
9.8,3.734,48.85,-7.134
9.85,3.837,48.86,-7.01
9.9,3.935,48.87,-6.879
9.95,4.028,48.88,-6.739
10,4.114,48.89,-6.593
10.05,4.195,48.9,-6.439
10.1,4.269,48.9,-6.278
10.15,4.337,48.91,-6.111
10.2,4.398,48.92,-5.937
10.25,4.451,48.93,-5.756
10.3,4.498,48.94,-5.57
10.35,4.537,48.95,-5.378
10.4,4.568,48.96,-5.18
10.45,4.591,48.97,-4.977
10.5,4.605,48.98,-4.77
10.55,4.611,48.99,-4.557
10.6,4.609,49.01,-4.341
10.65,4.597,49.02,-4.121
10.7,4.576,49.04,-3.897
10.75,4.546,49.05,-3.67
10.8,4.507,49.07,-3.44
10.85,4.459,49.09,-3.209
10.9,4.401,49.11,-2.975
10.95,4.335,49.14,-2.739
11,4.259,49.17,-2.503
11.05,4.175,49.2,-2.265
11.1,4.083,49.23,-2.028
11.15,3.984,49.27,-1.79
11.2,3.877,49.31,-1.553
11.25,3.764,49.36,-1.316
11.3,3.645,49.41,-1.081
11.35,3.521,49.46,-0.8478
11.4,3.394,49.53,-0.6162
11.45,3.263,49.59,-0.387
11.5,3.131,49.67,-0.1604
11.55,2.999,49.75,0.06331
11.6,2.866,49.83,0.2837
11.65,2.735,49.93,0.5005
11.7,2.607,50.03,0.7133
11.75,2.482,50.14,0.9219
11.8,2.361,50.26,1.126
11.85,2.246,50.39,1.325
11.9,2.137,50.53,1.518
11.95,2.035,50.68,1.706
12,1.941,50.84,1.886
12.05,1.855,51.02,2.06
12.1,1.778,51.2,2.224
12.15,1.71,51.4,2.378
12.2,1.654,51.6,2.52
12.25,1.609,51.82,2.646
12.3,1.578,52.05,2.751
12.35,1.565,52.28,2.829
12.4,1.574,52.52,2.867
12.45,1.617,52.77,2.847
12.5,1.717,53,2.733
12.55,1.921,53.2,2.461
12.6,2.351,53.35,1.893
12.65,3.361,53.34,0.6865
12.7,6.335,52.87,-2.263
12.75,2.986,49.33,-1.654
12.8,3.054,49.16,-1.708
12.85,3.013,48.98,-1.656
12.9,2.922,48.82,-1.545
12.95,2.787,48.67,-1.39
13,2.611,48.54,-1.205
13.05,2.4,48.44,-1.003
13.1,2.158,48.37,-0.7948
13.15,1.889,48.32,-0.5906
13.2,1.6,48.31,-0.3979
13.25,1.295,48.33,-0.2226
13.3,0.9822,48.37,-0.06833
13.35,0.6679,48.44,0.0628
13.4,0.3594,48.53,0.1701
