result
139,7
4.5,4.125,1.828,1.17,-2.711,-1.191,-0.4613
4.55,3.989,1.769,1.146,-2.738,-1.199,-0.4697
4.6,3.851,1.709,1.123,-2.76,-1.205,-0.4798
4.65,3.713,1.648,1.098,-2.778,-1.209,-0.4915
4.7,3.574,1.588,1.074,-2.791,-1.211,-0.5047
4.75,3.434,1.527,1.048,-2.8,-1.212,-0.5196
4.8,3.294,1.467,1.022,-2.805,-1.211,-0.5361
4.85,3.153,1.406,0.9944,-2.806,-1.208,-0.5541
4.9,3.013,1.346,0.9662,-2.802,-1.204,-0.5737
4.95,2.873,1.286,0.9371,-2.793,-1.199,-0.5948
5,2.734,1.226,0.9068,-2.78,-1.191,-0.6173
5.05,2.595,1.167,0.8754,-2.761,-1.183,-0.6413
5.1,2.458,1.108,0.8428,-2.738,-1.173,-0.6665
5.15,2.322,1.049,0.8089,-2.71,-1.161,-0.6928
5.2,2.187,0.9916,0.7737,-2.676,-1.148,-0.72
5.25,2.054,0.9346,0.7371,-2.636,-1.133,-0.7479
5.3,1.924,0.8783,0.6991,-2.59,-1.117,-0.7761
5.35,1.795,0.8229,0.6596,-2.539,-1.099,-0.804
5.4,1.67,0.7684,0.6189,-2.481,-1.08,-0.8312
5.45,1.547,0.715,0.5767,-2.417,-1.059,-0.8568
5.5,1.428,0.6626,0.5334,-2.346,-1.036,-0.8799
5.55,1.313,0.6114,0.489,-2.269,-1.011,-0.8995
5.6,1.201,0.5615,0.4438,-2.186,-0.9847,-0.9144
5.65,1.094,0.513,0.3979,-2.098,-0.9562,-0.923
5.7,0.9917,0.466,0.3518,-2.005,-0.9258,-0.9241
5.75,0.8938,0.4205,0.3058,-1.909,-0.8934,-0.916
5.8,0.8008,0.3767,0.2606,-1.81,-0.859,-0.8975
5.85,0.7128,0.3346,0.2165,-1.71,-0.8225,-0.8672
5.9,0.6297,0.2945,0.1742,-1.611,-0.784,-0.8244
5.95,0.5516,0.2563,0.1345,-1.513,-0.7434,-0.7684
6,0.4783,0.2202,0.09779,-1.418,-0.7007,-0.6991
6.05,0.4097,0.1863,0.0649,-1.327,-0.6557,-0.617
6.1,0.3455,0.1547,0.03642,-1.239,-0.6084,-0.5229
6.15,0.2857,0.1255,0.01289,-1.155,-0.5586,-0.4184
6.2,0.23,0.09889,-0.005195,-1.073,-0.5058,-0.3054
6.25,0.1784,0.07501,-0.0175,-0.9906,-0.4497,-0.187
6.3,0.131,0.05402,-0.02385,-0.9051,-0.3897,-0.06711
6.35,0.08809,0.03615,-0.02433,-0.8107,-0.325,0.04789
6.4,0.05037,0.02165,-0.01945,-0.6981,-0.2549,0.1475
6.45,0.01922,0.01083,-0.01049,-0.548,-0.1782,0.211
6.5,-0.002266,0.004018,-0.0005141,-0.3114,-0.09426,0.1882
6.55,-0.01562,5.256e-005,0.007933,-0.2229,-0.06436,0.1497
6.6,-0.02475,-0.002577,0.01442,-0.142,-0.0408,0.1097
6.65,-0.03006,-0.004177,0.01893,-0.07078,-0.02322,0.07073
6.7,-0.03207,-0.005036,0.02157,-0.009518,-0.01113,0.03475
6.75,-0.03126,-0.005409,0.02252,0.0418,-0.003829,0.003208
6.8,-0.02814,-0.005517,0.02202,0.08334,-0.0004769,-0.02295
6.85,-0.02317,-0.005534,0.02037,0.1154,-0.0001814,-0.04325
6.9,-0.01682,-0.00559,0.01784,0.1386,-0.002065,-0.05764
