RBF
18,18
     0,    -2, -1.75,  -1.5, -1.25,    -1, -0.75,  -0.5, -0.25,     0,  0.25,   0.5,  0.75,     1,  1.25,   1.5,  1.75,     2
    -2, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28,-2.307,-3.008,-6.188,-6.375,-3.118,-2.313, -2.28
 -1.75, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28,-2.303, -2.94,-6.053,-6.495,  -3.2,-2.319, -2.28,  -2.2
  -1.5, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28,-2.299,-2.876,-5.914,-6.609,-3.287,-2.326, -2.28,-2.265,-0.2187
 -1.25, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28,-2.296,-2.817, -5.77,-6.713, -3.38,-2.333,-2.281,-2.278,-1.398, 2.548
    -1, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28,-2.294,-2.762,-5.624,-6.809,-3.478,-2.342,-2.281, -2.28,-1.997, 2.437,-1.248
 -0.75, -2.28, -2.28, -2.28, -2.28, -2.28,-2.291,-2.712,-5.476,-6.896,-3.582,-2.352,-2.281, -2.28,-2.211, 1.186,0.02338, -2.26
  -0.5, -2.28, -2.28, -2.28, -2.28, -2.29,-2.666,-5.327,-6.972,-3.691,-2.363,-2.281, -2.28,-2.268,-0.3657, 1.586,-2.177, -2.28
 -0.25, -2.28, -2.28, -2.28,-2.288,-2.625,-5.178,-7.038,-3.805,-2.376,-2.281, -2.28,-2.278,-1.485,   2.6,-1.886, -2.28, -2.28
     0, -2.28, -2.28,-2.287,-2.587,-5.029,-7.092,-3.925, -2.39,-2.281, -2.28, -2.28,-2.032, 2.351,-1.145,-2.276, -2.28, -2.28
  0.25, -2.28,-2.286,-2.552,-4.881,-7.135, -4.05,-2.406,-2.282, -2.28, -2.28,-2.222, 1.024,0.1811,-2.256, -2.28, -2.28, -2.28
   0.5,-2.285,-2.521,-4.734,-7.165,-4.179,-2.424,-2.282, -2.28, -2.28, -2.27,-0.5076, 1.732,-2.161, -2.28, -2.28, -2.28, -2.28
  0.75,-2.493,-4.591,-7.184,-4.312,-2.444,-2.283, -2.28, -2.28,-2.279,-1.565, 2.638,-1.835,-2.279, -2.28, -2.28, -2.28, -2.28
     1, -4.45, -7.19, -4.45,-2.467,-2.283, -2.28, -2.28, -2.28,-2.063, 2.252,-1.035,-2.276, -2.28, -2.28, -2.28, -2.28, -2.28
  1.25,-7.184,-4.591,-2.493,-2.284, -2.28, -2.28, -2.28,-2.231,0.8605,0.3418,-2.251, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28
   1.5,-4.734,-2.521,-2.285, -2.28, -2.28, -2.28,-2.272,-0.6439, 1.871,-2.142, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28
  1.75,-2.552,-2.286, -2.28, -2.28, -2.28,-2.279,-1.639, 2.661,-1.779,-2.279, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28
     2,-2.287, -2.28, -2.28, -2.28, -2.28,-2.091, 2.143,-0.9183,-2.274, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28, -2.28
