control
500,3
12.55,0.00253,1.648
12.6,0.00253,1.698
12.65,0.002529,1.748
12.7,0.002529,1.798
12.75,0.002529,1.848
12.8,0.002529,1.898
12.85,0.002529,1.948
12.9,0.002529,1.998
12.95,0.002529,2.048
13,0.002529,2.098
13.05,0.002529,2.148
13.1,0.002529,2.198
13.15,0.002529,2.248
13.2,0.002529,2.298
13.25,0.002529,2.348
13.3,0.002529,2.398
13.35,0.002529,2.448
13.4,0.002529,2.498
13.45,0.002529,2.548
13.5,0.002529,2.598
13.55,0.002529,2.648
13.6,0.002529,2.698
13.65,0.002529,2.748
13.7,0.002529,2.798
13.75,0.002529,2.848
13.8,0.002529,2.898
13.85,0.002529,2.948
13.9,0.002529,2.998
13.95,0.002529,3.048
14,0.002529,3.098
14.05,0.002529,3.148
14.1,0.002529,3.198
14.15,0.002529,3.248
14.2,0.002529,3.298
14.25,0.002529,3.348
14.3,0.002529,3.398
14.35,0.002529,3.448
14.4,0.002529,3.498
14.45,0.002529,3.548
14.5,0.002529,3.598
14.55,0.002529,3.648
14.6,0.002529,3.698
14.65,0.002529,3.748
14.7,0.002529,3.798
14.75,0.002529,3.848
14.8,0.002529,3.898
14.85,0.002529,3.948
14.9,0.002529,3.998
14.95,0.002529,4.048
15,0.002529,4.098
15.05,0.002529,4.148
15.1,0.002529,4.198
15.15,0.002529,4.248
15.2,0.002529,4.298
15.25,0.002529,4.348
15.3,0.002529,4.398
15.35,0.002529,4.448
15.4,0.002529,4.498
15.45,0.002529,4.548
15.5,0.002529,4.598
15.55,0.002529,4.648
15.6,0.002529,4.698
15.65,0.002529,4.748
15.7,0.002529,4.798
15.75,0.002529,4.848
15.8,0.002529,4.898
15.85,0.002529,4.948
15.9,0.002529,4.998
15.95,0.002529,5.048
16,0.002529,5.098
16.05,0.002529,5.148
16.1,0.002529,5.198
16.15,0.002529,5.248
16.2,0.002529,5.298
16.25,0.002529,5.348
16.3,0.002529,5.398
16.35,0.002529,5.448
16.4,0.002529,5.498
16.45,0.002529,5.548
16.5,0.002529,5.598
16.55,0.002529,5.648
16.6,0.002529,5.698
16.65,0.002529,5.748
16.7,0.002529,5.798
16.75,0.002529,5.848
16.8,0.002529,5.898
16.85,0.002529,5.948
16.9,0.002529,5.998
16.95,0.002529,6.048
17,0.002529,6.098
17.05,0.002529,6.148
17.1,0.002529,6.198
17.15,0.002529,6.248
17.2,0.002529,6.298
17.25,0.002529,6.348
17.3,0.002529,6.398
17.35,0.002529,6.448
17.4,0.002529,6.498
17.45,0.002529,6.548
17.5,0.002529,6.598
17.55,0.002529,6.648
17.6,0.002529,6.698
17.65,0.002529,6.748
17.7,0.002529,6.798
17.75,0.002529,6.848
17.8,0.002529,6.898
17.85,0.002529,6.948
17.9,0.002529,6.998
17.95,0.002529,7.048
18,0.002529,7.098
18.05,0.002529,7.148
18.1,0.002529,7.198
18.15,0.002529,7.248
18.2,0.002529,7.298
18.25,0.002529,7.348
18.3,0.002529,7.398
18.35,0.002529,7.448
18.4,0.002529,7.498
18.45,0.002529,7.548
18.5,0.002529,7.598
18.55,0.002529,7.648
18.6,0.002529,7.698
18.65,0.002529,7.748
18.7,0.002529,7.798
18.75,0.002529,7.848
18.8,0.002529,7.898
18.85,0.002529,7.948
18.9,0.002529,7.998
18.95,0.002529,8.048
19,0.002529,8.098
19.05,0.002529,8.148
19.1,0.002529,8.198
19.15,0.002529,8.248
19.2,0.002529,8.298
19.25,0.002529,8.348
19.3,0.002529,8.398
19.35,0.002529,8.448
19.4,0.002529,8.498
19.45,0.002529,8.548
19.5,0.002529,8.598
19.55,0.002529,8.648
19.6,0.002529,8.698
19.65,0.002529,8.748
19.7,0.002529,8.798
19.75,0.002529,8.848
19.8,0.002529,8.898
19.85,0.002529,8.948
19.9,0.002529,8.998
19.95,0.002529,9.048
20,-3.997,-30.9
20.05,-0.6481,-0.112
20.1,0.02207,6.145
20.15,0.1195,7.128
20.2,0.1056,7.066
20.25,0.078,6.858
20.3,0.05494,6.679
20.35,0.03814,6.546
20.4,0.02636,6.453
20.45,0.01819,6.389
20.5,0.01255,6.344
20.55,0.008655,6.313
20.6,0.005969,6.292
20.65,0.004116,6.278
20.7,0.002839,6.267
20.75,0.001958,6.261
20.8,0.00135,6.256
20.85,0.0009311,6.252
20.9,0.0006421,6.25
20.95,0.0004428,6.249
21,0.0003054,6.247
21.05,0.0002106,6.247
21.1,0.0001452,6.246
21.15,0.0001002,6.246
21.2,6.907e-005,6.246
21.25,4.763e-005,6.245
21.3,3.285e-005,6.245
21.35,2.265e-005,6.245
21.4,1.562e-005,6.245
21.45,1.077e-005,6.245
21.5,7.43e-006,6.245
21.55,5.124e-006,6.245
21.6,3.534e-006,6.245
21.65,2.437e-006,6.245
21.7,1.681e-006,6.245
21.75,1.159e-006,6.245
21.8,7.993e-007,6.245
21.85,5.512e-007,6.245
21.9,3.802e-007,6.245
21.95,2.622e-007,6.245
22,1.808e-007,6.245
22.05,1.247e-007,6.245
22.1,8.599e-008,6.245
22.15,5.93e-008,6.245
22.2,4.09e-008,6.245
22.25,2.82e-008,6.245
22.3,1.945e-008,6.245
22.35,1.341e-008,6.245
22.4,9.25e-009,6.245
22.45,6.379e-009,6.245
22.5,4.399e-009,6.245
22.55,3.034e-009,6.245
22.6,2.092e-009,6.245
22.65,1.443e-009,6.245
22.7,9.951e-010,6.245
22.75,6.862e-010,6.245
22.8,4.733e-010,6.245
22.85,3.264e-010,6.245
22.9,2.251e-010,6.245
22.95,1.552e-010,6.245
23,1.07e-010,6.245
23.05,7.384e-011,6.245
23.1,5.092e-011,6.245
23.15,3.511e-011,6.245
23.2,2.418e-011,6.245
23.25,1.669e-011,6.245
23.3,1.152e-011,6.245
23.35,7.928e-012,6.245
23.4,5.501e-012,6.245
23.45,3.778e-012,6.245
23.5,2.611e-012,6.245
23.55,1.795e-012,6.245
23.6,1.236e-012,6.245
23.65,8.4e-013,6.245
23.7,5.827e-013,6.245
23.75,4.188e-013,6.245
23.8,2.803e-013,6.245
23.85,2.09e-013,6.245
23.9,1.18e-013,6.245
23.95,1.148e-013,6.245
24,9.247e-014,6.245
24.05,3.188e-015,6.245
24.1,1.065e-016,6.245
24.15,1.765e-017,6.245
24.2,1.765e-017,6.245
24.25,1.765e-017,6.245
24.3,1.765e-017,6.245
24.35,1.765e-017,6.245
24.4,1.765e-017,6.245
24.45,1.765e-017,6.245
24.5,1.765e-017,6.245
24.55,1.765e-017,6.245
24.6,1.765e-017,6.245
24.65,1.765e-017,6.245
24.7,1.765e-017,6.245
24.75,1.765e-017,6.245
24.8,1.765e-017,6.245
24.85,1.765e-017,6.245
24.9,1.765e-017,6.245
24.95,1.765e-017,6.245
