control
500,3
12.45,0.002515,0.1342
12.5,0.002515,0.1842
12.55,0.002515,0.2342
12.6,0.002515,0.2842
12.65,0.002515,0.3342
12.7,0.002515,0.3842
12.75,0.002515,0.4342
12.8,0.002515,0.4842
12.85,0.002515,0.5342
12.9,0.002515,0.5842
12.95,0.002515,0.6342
13,0.002515,0.6842
13.05,0.002515,0.7342
13.1,0.002515,0.7842
13.15,0.002515,0.8342
13.2,0.002515,0.8842
13.25,0.002515,0.9342
13.3,0.002515,0.9842
13.35,0.002515,1.034
13.4,0.002515,1.084
13.45,0.002515,1.134
13.5,0.002515,1.184
13.55,0.002515,1.234
13.6,0.002515,1.284
13.65,0.002515,1.334
13.7,0.002515,1.384
13.75,0.002515,1.434
13.8,0.002515,1.484
13.85,0.002515,1.534
13.9,0.002515,1.584
13.95,0.002515,1.634
14,0.002515,1.684
14.05,0.002515,1.734
14.1,0.002515,1.784
14.15,0.002515,1.834
14.2,0.002515,1.884
14.25,0.002515,1.934
14.3,0.002515,1.984
14.35,0.002515,2.034
14.4,0.002515,2.084
14.45,0.002515,2.134
14.5,0.002515,2.184
14.55,0.002515,2.234
14.6,0.002515,2.284
14.65,0.002515,2.334
14.7,0.002515,2.384
14.75,0.002515,2.434
14.8,0.002515,2.484
14.85,0.002515,2.534
14.9,0.002515,2.584
14.95,0.002515,2.634
15,0.002515,2.684
15.05,0.002515,2.734
15.1,0.002515,2.784
15.15,0.002515,2.834
15.2,0.002515,2.884
15.25,0.002515,2.934
15.3,0.002515,2.984
15.35,0.002515,3.034
15.4,0.002515,3.084
15.45,0.002515,3.134
15.5,0.002515,3.184
15.55,0.002515,3.234
15.6,0.002515,3.284
15.65,0.002515,3.334
15.7,0.002515,3.384
15.75,0.002515,3.434
15.8,0.002515,3.484
15.85,0.002515,3.534
15.9,0.002515,3.584
15.95,0.002515,3.634
16,0.002515,3.684
16.05,0.002515,3.734
16.1,0.002515,3.784
16.15,0.002515,3.834
16.2,0.002515,3.884
16.25,0.002515,3.934
16.3,0.002515,3.984
16.35,0.002515,4.034
16.4,0.002515,4.084
16.45,0.002515,4.134
16.5,0.002515,4.184
16.55,0.002515,4.234
16.6,0.002515,4.284
16.65,0.002515,4.334
16.7,0.002515,4.384
16.75,0.002515,4.434
16.8,0.002515,4.484
16.85,0.002515,4.534
16.9,0.002515,4.584
16.95,0.002515,4.634
17,0.002515,4.684
17.05,0.002515,4.734
17.1,0.002515,4.784
17.15,0.002515,4.834
17.2,0.002515,4.884
17.25,0.002515,4.934
17.3,0.002515,4.984
17.35,0.002515,5.034
17.4,0.002515,5.084
17.45,0.002515,5.134
17.5,0.002515,5.184
17.55,0.002515,5.234
17.6,0.002515,5.284
17.65,0.002515,5.334
17.7,0.002515,5.384
17.75,0.002515,5.434
17.8,0.002515,5.484
17.85,0.002515,5.534
17.9,0.002515,5.584
17.95,0.002515,5.634
18,0.002515,5.684
18.05,0.002515,5.734
18.1,0.002515,5.784
18.15,0.002515,5.834
18.2,0.002515,5.884
18.25,0.002515,5.934
18.3,0.002515,5.984
18.35,0.002515,6.034
18.4,0.002515,6.084
18.45,0.002515,6.134
18.5,0.002515,6.184
18.55,0.002515,6.234
18.6,0.002515,6.284
18.65,0.002515,6.334
18.7,0.002515,6.384
18.75,0.002515,6.434
18.8,0.002515,6.484
18.85,0.002515,6.534
18.9,0.002515,6.584
18.95,0.002515,6.634
19,0.002515,6.684
19.05,0.002515,6.734
19.1,0.002515,6.784
19.15,0.002515,6.834
19.2,0.002515,6.884
19.25,0.002515,6.934
19.3,0.002515,6.984
19.35,0.002515,7.034
19.4,0.002515,7.084
19.45,0.002515,7.134
19.5,0.002515,7.184
19.55,0.002515,7.234
19.6,0.002515,7.284
19.65,0.002515,7.334
19.7,0.002515,7.384
19.75,0.002515,7.434
19.8,0.002515,7.484
19.85,0.002515,7.534
19.9,0.002515,7.584
19.95,0.002515,7.634
20,-3.997,-32.32
20.05,-0.5741,0.5543
20.1,0.04324,6.525
20.15,0.1185,7.287
20.2,0.09988,7.137
20.25,0.07276,6.897
20.3,0.05111,6.704
20.35,0.03555,6.564
20.4,0.02465,6.466
20.45,0.01708,6.398
20.5,0.01183,6.351
20.55,0.008196,6.319
20.6,0.005677,6.296
20.65,0.003932,6.28
20.7,0.002724,6.27
20.75,0.001887,6.262
20.8,0.001307,6.257
20.85,0.0009051,6.253
20.9,0.0006269,6.251
20.95,0.0004342,6.249
21,0.0003008,6.248
21.05,0.0002083,6.247
21.1,0.0001443,6.246
21.15,9.995e-005,6.246
21.2,6.923e-005,6.246
21.25,4.796e-005,6.245
21.3,3.322e-005,6.245
21.35,2.301e-005,6.245
21.4,1.594e-005,6.245
21.45,1.104e-005,6.245
21.5,7.646e-006,6.245
21.55,5.296e-006,6.245
21.6,3.668e-006,6.245
21.65,2.541e-006,6.245
21.7,1.76e-006,6.245
21.75,1.219e-006,6.245
21.8,8.444e-007,6.245
21.85,5.848e-007,6.245
21.9,4.051e-007,6.245
21.95,2.806e-007,6.245
22,1.944e-007,6.245
22.05,1.346e-007,6.245
22.1,9.325e-008,6.245
22.15,6.459e-008,6.245
22.2,4.474e-008,6.245
22.25,3.099e-008,6.245
22.3,2.146e-008,6.245
22.35,1.487e-008,6.245
22.4,1.03e-008,6.245
22.45,7.133e-009,6.245
22.5,4.94e-009,6.245
22.55,3.422e-009,6.245
22.6,2.37e-009,6.245
22.65,1.642e-009,6.245
22.7,1.137e-009,6.245
22.75,7.877e-010,6.245
22.8,5.456e-010,6.245
22.85,3.779e-010,6.245
22.9,2.617e-010,6.245
22.95,1.813e-010,6.245
23,1.256e-010,6.245
23.05,8.697e-011,6.245
23.1,6.027e-011,6.245
23.15,4.174e-011,6.245
23.2,2.892e-011,6.245
23.25,2.002e-011,6.245
23.3,1.386e-011,6.245
23.35,9.588e-012,6.245
23.4,6.656e-012,6.245
23.45,4.634e-012,6.245
23.5,3.181e-012,6.245
23.55,2.204e-012,6.245
23.6,1.5e-012,6.245
23.65,1.067e-012,6.245
23.7,7.495e-013,6.245
23.75,5.224e-013,6.245
23.8,3.634e-013,6.245
23.85,2.278e-013,6.245
23.9,1.59e-013,6.245
23.95,1.135e-013,6.245
24,1.128e-013,6.245
24.05,4.618e-014,6.245
24.1,8.418e-016,6.245
