control
500,3
12.65,0.002544,3.163
12.7,0.002544,3.213
12.75,0.002544,3.263
12.8,0.002544,3.313
12.85,0.002544,3.363
12.9,0.002544,3.413
12.95,0.002544,3.463
13,0.002544,3.513
13.05,0.002544,3.563
13.1,0.002544,3.613
13.15,0.002544,3.663
13.2,0.002544,3.713
13.25,0.002544,3.763
13.3,0.002544,3.813
13.35,0.002544,3.863
13.4,0.002544,3.913
13.45,0.002544,3.963
13.5,0.002544,4.013
13.55,0.002544,4.063
13.6,0.002544,4.113
13.65,0.002544,4.163
13.7,0.002544,4.213
13.75,0.002544,4.263
13.8,0.002544,4.313
13.85,0.002544,4.363
13.9,0.002544,4.413
13.95,0.002544,4.463
14,0.002544,4.513
14.05,0.002544,4.563
14.1,0.002544,4.613
14.15,0.002544,4.663
14.2,0.002544,4.713
14.25,0.002544,4.763
14.3,0.002544,4.813
14.35,0.002544,4.863
14.4,0.002544,4.913
14.45,0.002544,4.963
14.5,0.002544,5.013
14.55,0.002544,5.063
14.6,0.002544,5.113
14.65,0.002544,5.163
14.7,0.002544,5.213
14.75,0.002544,5.263
14.8,0.002544,5.313
14.85,0.002544,5.363
14.9,0.002544,5.413
14.95,0.002544,5.463
15,0.002544,5.513
15.05,0.002544,5.563
15.1,0.002544,5.613
15.15,0.002544,5.663
15.2,0.002544,5.713
15.25,0.002544,5.763
15.3,0.002544,5.813
15.35,0.002544,5.863
15.4,0.002544,5.913
15.45,0.002544,5.963
15.5,0.002544,6.013
15.55,0.002544,6.063
15.6,0.002544,6.113
15.65,0.002544,6.163
15.7,0.002544,6.213
15.75,0.002544,6.263
15.8,0.002544,6.313
15.85,0.002544,6.363
15.9,0.002544,6.413
15.95,0.002544,6.463
16,0.002544,6.513
16.05,0.002544,6.563
16.1,0.002544,6.613
16.15,0.002544,6.663
16.2,0.002544,6.713
16.25,0.002544,6.763
16.3,0.002544,6.813
16.35,0.002544,6.863
16.4,0.002544,6.913
16.45,0.002544,6.963
16.5,0.002544,7.013
16.55,0.002544,7.063
16.6,0.002544,7.113
16.65,0.002544,7.163
16.7,0.002544,7.213
16.75,0.002544,7.263
16.8,0.002544,7.313
16.85,0.002544,7.363
16.9,0.002544,7.413
16.95,0.002544,7.463
17,0.002544,7.513
17.05,0.002544,7.563
17.1,0.002544,7.613
17.15,0.002544,7.663
17.2,0.002544,7.713
17.25,0.002544,7.763
17.3,0.002544,7.813
17.35,0.002544,7.863
17.4,0.002544,7.913
17.45,0.002544,7.963
17.5,0.002544,8.013
17.55,0.002544,8.063
17.6,0.002544,8.113
17.65,0.002544,8.163
17.7,0.002544,8.213
17.75,0.002544,8.263
17.8,0.002544,8.313
17.85,0.002544,8.363
17.9,0.002544,8.413
17.95,0.002544,8.463
18,0.002544,8.513
18.05,0.002544,8.563
18.1,0.002544,8.613
18.15,0.002544,8.663
18.2,0.002544,8.713
18.25,0.002544,8.763
18.3,0.002544,8.813
18.35,0.002544,8.863
18.4,0.002544,8.913
18.45,0.002544,8.963
18.5,0.002544,9.013
18.55,0.002544,9.063
18.6,0.002544,9.113
18.65,0.002544,9.163
18.7,0.002544,9.213
18.75,0.002544,9.263
18.8,0.002544,9.313
18.85,0.002544,9.363
18.9,0.002544,9.413
18.95,0.002544,9.463
19,0.002544,9.513
19.05,0.002544,9.563
19.1,0.002544,9.613
19.15,0.002544,9.663
19.2,0.002544,9.713
19.25,0.002544,9.763
19.3,0.002544,9.813
19.35,0.002544,9.863
19.4,0.002544,9.913
19.45,0.002544,9.963
19.5,0.002544,10.01
19.55,0.002544,10.06
19.6,0.002544,10.11
19.65,0.002544,10.16
19.7,0.002544,10.21
19.75,0.002544,10.26
19.8,0.002544,10.31
19.85,0.002544,10.36
19.9,0.002544,10.41
19.95,0.002544,10.46
20,-3.997,-29.49
20.05,-0.7203,-0.7149
20.1,-0.001262,5.749
20.15,0.1193,6.948
20.2,0.1112,6.982
20.25,0.08347,6.813
20.3,0.05903,6.65
20.35,0.04094,6.527
20.4,0.02821,6.439
20.45,0.01939,6.379
20.5,0.01331,6.337
20.55,0.009139,6.308
20.6,0.006274,6.288
20.65,0.004306,6.275
20.7,0.002956,6.265
20.75,0.002029,6.259
20.8,0.001393,6.255
20.85,0.0009558,6.252
20.9,0.0006561,6.25
20.95,0.0004503,6.248
21,0.0003091,6.247
21.05,0.0002122,6.247
21.1,0.0001456,6.246
21.15,9.996e-005,6.246
21.2,6.861e-005,6.246
21.25,4.709e-005,6.245
21.3,3.232e-005,6.245
21.35,2.219e-005,6.245
21.4,1.523e-005,6.245
21.45,1.045e-005,6.245
21.5,7.175e-006,6.245
21.55,4.925e-006,6.245
21.6,3.38e-006,6.245
21.65,2.32e-006,6.245
21.7,1.593e-006,6.245
21.75,1.093e-006,6.245
21.8,7.503e-007,6.245
21.85,5.15e-007,6.245
21.9,3.535e-007,6.245
21.95,2.426e-007,6.245
22,1.666e-007,6.245
